,period,num_topics,perplexity,coherence_u
126,2010.0,5.0,-12.881568609638615,-14.299548443934327
127,2010.0,6.0,-13.347728158896686,-15.316884594236797
128,2010.0,7.0,-13.787693166187557,-17.882514815171785
129,2010.0,8.0,-14.196817142137988,-18.46637206011401
130,2010.0,9.0,-14.60256931498336,-18.65172324295459
131,2010.0,10.0,-14.999065982486048,-19.028869577629425
132,2010.0,11.0,-15.392262376928466,-19.149732028591988
133,2010.0,12.0,-15.765262226261267,-19.261938187163548
134,2010.0,13.0,-16.164793704830437,-19.685580030605188
135,2010.0,14.0,-16.495153286969007,-19.25181430745442
136,2010.0,15.0,-16.91147335877948,-19.785786495605876
137,2011.0,4.0,-12.372525817357092,-11.687738867566502
138,2011.0,5.0,-12.834494527287417,-12.736510208670737
139,2011.0,6.0,-13.303272595738106,-14.223057517334908
140,2011.0,7.0,-13.722257163724167,-17.36659972135266
141,2011.0,8.0,-14.166304499185776,-17.87226589330507
142,2011.0,9.0,-14.538398936758812,-17.684758887023882
143,2011.0,10.0,-14.951350768245172,-18.684433114389698
144,2011.0,11.0,-15.316574283813022,-18.790793231056973
145,2011.0,12.0,-15.714477867196877,-18.92510595116325
146,2011.0,13.0,-16.05835623523706,-18.79510046542719
147,2011.0,14.0,-16.450092657409396,-19.391896335315437
148,2011.0,15.0,-16.709478741074015,-18.06343884382709
149,2011.0,16.0,-17.131443438164048,-19.092185537405836
150,2012.0,4.0,-12.341428780409526,-10.972587475267261
151,2012.0,5.0,-12.802704417763557,-13.204911476373578
152,2012.0,6.0,-13.254017237071059,-15.793797249535357
153,2012.0,7.0,-13.695978271082263,-15.444224685679071
154,2012.0,8.0,-14.133221058996062,-18.652320656725735
155,2012.0,9.0,-14.529088463751894,-18.498293643132254
156,2012.0,10.0,-14.909065356569046,-18.47265465560364
157,2012.0,11.0,-15.297536280739815,-19.307388407473688
158,2012.0,12.0,-15.670827987668005,-18.875640629709753
159,2012.0,13.0,-16.047263120597254,-18.936594234210812
160,2012.0,14.0,-16.433463125091826,-19.55385421051347
161,2012.0,15.0,-16.764450230247725,-19.999390862647424
162,2012.0,16.0,-17.125995100637667,-19.675026108447934
163,2013.0,4.0,-12.381126190909646,-11.313242084147037
164,2013.0,5.0,-12.845238870779534,-12.24644293018979
165,2013.0,6.0,-13.319029957180783,-15.592896066348928
166,2013.0,7.0,-13.745724286988299,-15.663085440547388
167,2013.0,8.0,-14.16547497481419,-17.801939231415922
168,2013.0,9.0,-14.566220402427764,-18.198809823862067
169,2013.0,10.0,-14.975834174763246,-17.434312461470753
